# Time-averaged data for fix stressout_a
# TimeStep c_s_a[1] c_s_a[2] c_s_a[3] c_s_a[4] c_s_a[5] c_s_a[6]
785000 -2.17599e+06 -2.1947e+06 -2.19153e+06 25.8437 -82.0717 75.8259
790000 -2.16942e+06 -2.1956e+06 -2.19228e+06 -40.5021 152.589 39.6252
795000 -2.16411e+06 -2.19675e+06 -2.19379e+06 38.3142 60.979 118.193
800000 -2.15805e+06 -2.19749e+06 -2.19424e+06 -13.3644 28.4791 -121.631
805000 -2.1512e+06 -2.19788e+06 -2.19495e+06 11.4366 142.074 131.52
810000 -2.14326e+06 -2.19898e+06 -2.19604e+06 134.525 151.704 6.92428
815000 -2.13677e+06 -2.19967e+06 -2.19708e+06 -45.2078 262.058 -54.3846
820000 -2.12764e+06 -2.20028e+06 -2.19757e+06 -29.7908 396.152 -21.2985
825000 -2.12101e+06 -2.20105e+06 -2.19814e+06 -27.3467 256.648 -19.7043
830000 -2.11355e+06 -2.20204e+06 -2.19883e+06 -185.354 147.387 -11.3344
835000 -2.10693e+06 -2.20192e+06 -2.19929e+06 -36.304 -172.632 42.6153
840000 -2.09716e+06 -2.20222e+06 -2.19976e+06 -33.6039 -270.931 -94.9634
845000 -2.08962e+06 -2.20269e+06 -2.20005e+06 -75.5785 -257.084 18.1046
850000 -2.08198e+06 -2.20326e+06 -2.2006e+06 -47.1375 -311.913 -20.6974
855000 -2.07305e+06 -2.20391e+06 -2.20176e+06 -0.663907 -297.779 -59.9275
860000 -2.06681e+06 -2.20502e+06 -2.20251e+06 44.3531 -275.586 29.0695
865000 -2.06071e+06 -2.2051e+06 -2.20291e+06 -0.387709 -414.157 -10.5863
870000 -2.05555e+06 -2.20523e+06 -2.20306e+06 102.33 -943.393 62.9082
875000 -2.0485e+06 -2.20505e+06 -2.20256e+06 15.2377 -1045.31 17.2824
880000 -2.04542e+06 -2.20488e+06 -2.20218e+06 -115.461 -1190.77 28.4524
