# Time-averaged data for fix stressout_c
# TimeStep c_s_c[1] c_s_c[2] c_s_c[3] c_s_c[4] c_s_c[5] c_s_c[6]
785000 -371880 -390074 -386999 27.628 -96.0424 36.335
790000 -365074 -390467 -387414 -7.50377 64.0325 39.7717
795000 -359275 -391029 -388337 32.2606 27.2297 70.9301
800000 -352914 -391579 -388450 -98.1263 14.5056 -134.816
805000 -345599 -391582 -388905 0.399761 91.7067 38.7874
810000 -337401 -392298 -389406 61.24 146.84 7.62502
815000 -330531 -392560 -390004 -7.70598 229.962 -28.9931
820000 -321139 -392833 -390266 -78.1073 295.884 -33.9412
825000 -314305 -393349 -390550 -63.7087 180.183 -43.9177
830000 -306541 -393939 -390773 -73.8023 88.2453 -32.2809
835000 -299793 -393698 -391181 -27.6685 -195.329 73.7668
840000 -289805 -393752 -391423 -17.2905 -300.686 -62.6342
845000 -282102 -394034 -391573 -3.33036 -229.091 8.28161
850000 -274355 -394459 -391968 17.7641 -301.493 1.31665
855000 -265047 -394736 -392526 10.2367 -290.096 -68.3098
860000 -258446 -395360 -392924 47.1492 -311.614 77.5758
865000 -252358 -395327 -393267 -30.4644 -560.288 6.92889
870000 -246928 -395316 -393349 10.3193 -946.598 5.36204
875000 -240049 -395225 -392871 -33.8549 -1054.25 -41.2775
880000 -237305 -395231 -392754 -57.7977 -1223.13 -3.90072
