# Time-averaged data for fix stressout_a
# TimeStep c_s_a[1] c_s_a[2] c_s_a[3] c_s_a[4] c_s_a[5] c_s_a[6]
785000 -2.1731e+06 -2.19815e+06 -2.19473e+06 -123.805 -473.121 -74.6824
790000 -2.16543e+06 -2.19888e+06 -2.19589e+06 74.8465 -611.829 -41.2902
795000 -2.15844e+06 -2.19982e+06 -2.19652e+06 -64.7167 -633.016 -114.561
800000 -2.15001e+06 -2.20068e+06 -2.19801e+06 -165.166 -602.775 -88.2027
805000 -2.14276e+06 -2.20187e+06 -2.19895e+06 46.9178 -519.556 13.5919
810000 -2.1344e+06 -2.20269e+06 -2.19972e+06 62.4938 44.5055 87.1216
815000 -2.12448e+06 -2.20302e+06 -2.20014e+06 129.824 113.157 -48.7042
820000 -2.11603e+06 -2.20263e+06 -2.20018e+06 -14.046 267.599 21.1258
825000 -2.10516e+06 -2.20329e+06 -2.20051e+06 126.434 525.784 -14.2129
830000 -2.09658e+06 -2.20373e+06 -2.20114e+06 142.432 853.894 -5.06363
835000 -2.08527e+06 -2.20455e+06 -2.20165e+06 12.3689 551.579 -72.5619
840000 -2.07684e+06 -2.20496e+06 -2.20219e+06 52.2768 531.295 -9.04093
845000 -2.06909e+06 -2.20491e+06 -2.20219e+06 -10.1135 442.483 -25.8859
850000 -2.06017e+06 -2.20501e+06 -2.20212e+06 0.11288 429.637 82.8792
855000 -2.05331e+06 -2.2053e+06 -2.20228e+06 -148.972 507.804 -54.8643
860000 -2.04589e+06 -2.2054e+06 -2.20257e+06 -44.3199 529.075 -57.4591
865000 -2.03882e+06 -2.20596e+06 -2.20336e+06 -6.6865 438.067 -30.1475
870000 -2.0335e+06 -2.20682e+06 -2.20438e+06 -69.304 760.906 72.5488
875000 -2.02796e+06 -2.20781e+06 -2.20495e+06 39.3876 832.378 71.5742
880000 -2.0224e+06 -2.20786e+06 -2.20497e+06 -132.046 824.831 65.3308
