# Time-averaged data for fix stressout_c
# TimeStep c_s_c[1] c_s_c[2] c_s_c[3] c_s_c[4] c_s_c[5] c_s_c[6]
785000 -367049 -391486 -388234 -1.66535 -426.443 -117.822
790000 -359105 -391774 -388976 60.4819 -577.237 -54.4573
795000 -351813 -392313 -389281 5.17546 -547.254 -166.521
800000 -342966 -392824 -390109 -27.1776 -548.896 -62.0327
805000 -335391 -393378 -390626 56.3636 -447.413 -22.0221
810000 -326421 -393824 -390857 11.9247 -6.80782 24.2963
815000 -316518 -393981 -391334 132.888 130.887 -61.5117
820000 -308300 -393775 -391360 13.9115 335.844 -13.748
825000 -297042 -394184 -391617 69.6213 496.047 -70.2587
830000 -288318 -394368 -391970 111.757 862.75 -4.8197
835000 -276821 -394810 -392187 19.3112 599.263 -16.5184
840000 -268250 -395094 -392405 98.5337 534.988 -18.6123
845000 -260459 -395129 -392503 30.2732 484.455 -5.18697
850000 -251644 -395067 -392441 39.2711 492.175 82.4089
855000 -244676 -395299 -392553 -59.5816 571.19 -55.0278
860000 -237161 -395311 -392696 -37.5462 479.95 -26.9889
865000 -229804 -395470 -393062 -19.3441 483.471 -29.4125
870000 -223946 -395849 -393521 -34.4791 762.324 14.0164
875000 -218155 -396495 -393824 50.6111 853.817 77.3742
880000 -212493 -396462 -393708 -58.7313 891.592 57.8128
