# Time-averaged data for fix stressout_a
# TimeStep c_s_a[1] c_s_a[2] c_s_a[3] c_s_a[4] c_s_a[5] c_s_a[6]
785000 -2.20004e+06 -2.20732e+06 -2.20279e+06 49.2171 -90.2197 -144.141
790000 -2.19769e+06 -2.20765e+06 -2.20313e+06 -86.8736 -292.275 83.5552
795000 -2.19546e+06 -2.20776e+06 -2.20374e+06 -94.1854 -341.652 -101.547
800000 -2.19414e+06 -2.20844e+06 -2.20493e+06 51.797 -282.072 -33.0167
805000 -2.19218e+06 -2.2089e+06 -2.20584e+06 58.7905 -307.336 106.502
810000 -2.19023e+06 -2.20939e+06 -2.20624e+06 76.5508 -422.479 160.992
815000 -2.18802e+06 -2.20968e+06 -2.20644e+06 -0.673452 -353.43 12.0272
820000 -2.18563e+06 -2.20997e+06 -2.20692e+06 -64.7684 -380.205 64.4482
825000 -2.18399e+06 -2.2105e+06 -2.20762e+06 93.8252 -413.519 90.7956
830000 -2.18242e+06 -2.21102e+06 -2.20819e+06 64.7398 -428.651 78.1578
835000 -2.18157e+06 -2.21095e+06 -2.20828e+06 -130.169 -747.526 -71.3452
840000 -2.17902e+06 -2.21168e+06 -2.20884e+06 112.873 -623.172 -129.956
845000 -2.17805e+06 -2.21201e+06 -2.2091e+06 18.8689 -839.807 45.6994
850000 -2.17802e+06 -2.21235e+06 -2.21018e+06 201.709 -486.132 -6.28184
855000 -2.17677e+06 -2.21253e+06 -2.21038e+06 -153.213 -689.158 -15.0002
860000 -2.17584e+06 -2.21275e+06 -2.21031e+06 172.741 -680.023 95.4974
865000 -2.17364e+06 -2.21329e+06 -2.21107e+06 -45.4861 -375.335 -15.9957
870000 -2.17434e+06 -2.21367e+06 -2.21147e+06 -139.035 159.066 -14.1772
875000 -2.17351e+06 -2.21406e+06 -2.2122e+06 -22.7656 92.5317 -40.3238
880000 -2.17279e+06 -2.21427e+06 -2.21239e+06 -80.518 325.401 -18.7154
