# Time-averaged data for fix stressout_c
# TimeStep c_s_c[1] c_s_c[2] c_s_c[3] c_s_c[4] c_s_c[5] c_s_c[6]
785000 -388612 -395678 -391298 -20.7046 -136.441 -70.4052
790000 -386269 -395952 -391518 -20.9927 -390.081 20.2748
795000 -384040 -396021 -392115 -67.2581 -326.842 -69.2617
800000 -382280 -396191 -392787 7.75635 -317.396 26.9144
805000 -380206 -396374 -393401 16.7632 -335.053 120.782
810000 -377964 -396693 -393682 38.5489 -421.994 112.746
815000 -375735 -396897 -393784 13.0581 -281.249 -3.10338
820000 -373163 -397032 -394111 -97.2081 -399.593 57.4304
825000 -371282 -397313 -394559 149.197 -462.391 104.278
830000 -369404 -397446 -394799 37.0967 -442.731 67.7579
835000 -368681 -397387 -394891 -152.852 -709.178 -83.7157
840000 -365718 -397717 -395159 38.386 -666.29 -68.2625
845000 -364938 -398133 -395324 45.5601 -822.071 32.8565
850000 -364702 -398144 -396065 166.652 -474.41 -77.9288
855000 -363369 -398228 -396175 -113.955 -668.908 -3.4523
860000 -362452 -398491 -396129 126.579 -635.867 34.4665
865000 -359870 -398616 -396456 22.7374 -445.034 -11.2454
870000 -360603 -398910 -396827 -44.6188 121.197 -30.0812
875000 -359370 -399021 -397248 -33.8321 100.061 -17.2256
880000 -358510 -399166 -397310 -89.5162 263.182 30.407
